,Exclusion,Inclusion,NCT
0,":            -  Subject is pregnant or breast-feeding            -  Planned revascularization or amputation            -  Known bleeding disorder            -  History of intracranial hemorrhag3            -  Considered at risk of hemorrhagic events            -  Hypersensitivity or allergic reactions to aspirin            -  Concomitant use of anticoagulants such as warfarin, dabigatran, factor Xa inhibitors              or antiplatelet drugs such as clopidogrel, dipyridamole and sulfapyridine            -  Subject has a condition or circumstance which would prevent them from adhering to              treatment regimens            -  Subject has active infection            -  Subject has an anemia            -  Subject has given blood or received a blood transfusion at any point during the study            -  Subject has polycythemia vera or any hyperviscosity syndrome            -  Subjects with Waldenstrom's macroglobulinemia who have an increased risk of              hyperviscosity syndrome            -  Subject has history of severe liver disease, obstructive liver disease such as primary              biliary cirrhosis or end-stage renal disease (eGFR <30 mL/min/m2)            -  Family members or employees of the investigator or study centers involved in the study            -  Subject has poor diabetes or hypertension control (systolic blood pressure ≥ 180 mmHg              or diastolic blood pressure ≥ 100 mmHg)",:            -  Female or male aged ≥ 35 years            -  Type 2 diabetes mellitus            -  Symptomatic PAD            -  Ankle-brachial index ≤ 0.85 or calcified blood vessels with toe-brachial index ≤ 0.6              and/or abnormal post-exercise ankle-brachial index            -  Prior surgical or percutaneous intervention of the peripheral arteries ≥12 months              previously with a residual stenoses of ≥50% in a non-dilated artery.          ,NCT02325466
1,":            -  History of intolerance to ACEI or ARB            -  Serum potassium level >5.5 meq/L            -  Receiving sodium polystyrene sulfonate (Kayexalate)            -  Pregnancy, breast feeding, planning to become pregnant or sexually active and not              using birth control            -  Renal transplant recipient            -  Suspected non-diabetic kidney disease            -  Inability to discontinue current use of ACEI/ARB combination            -  Current use of Lithium            -  Severe (end-stage) comorbid disease            -  Prisoner            -  Age <18            -  Estimated glomerular filtration rate (GFR) <30 or >=90 ml/min/1.73m*m            -  HbA1c >10.5%            -  Patient refusal            -  Participation in a concurrent interventional study            -  Blood pressure >180/95            -  Unwilling to stop any proscribed medications after enrollment",:            -  Type 2 diabetes            -  Albuminuria >300mg/gram creatinine            -  Stage 2 or 3 CKD (eGFR 30 to <90 mg/min/1.73m*2 )            -  Able to give informed consent            -  Telephone contact available          ,NCT00555217
2,,I,NCT03211858
3,":            -  For patients who enter the study taking a stable dose of metformin, history of taking              OAD medications other than metformin during the 8 weeks prior to screening or have              been on insulin therapy within 1 year of screening            -  For patients who enter the study taking insulin, history of taking any other therapy              outside of the stable insulin and up to 2 OAD medications for 8 weeks prior to              screening.            -  Use of sulfonylureas during the 8 weeks prior to screening            -  Prior exposure to dapagliflozin or any sodium-glucose co-transporter 2 (SGLT-2)              inhibitor            -  Ingestion of any medication know to affect glucose metabolism for >7 consecutive days              during the 3 months prior to screening            -  Ingestion of prescription or over the counter weight loss medication during 3 months              prior to screening",:            -  Type 2 diabetes mellitus (T2DM)            -  Treated with either stable dose of metformin alone > or = to 1500mg/day or stable dose              of insulin > or = to 30 units/day and up to 2 OAD medications for at least 8 weeks            -  Hemoglobin A1c (HbA1c) 7.5% to 10.5% at screening            -  Body mass index (BMI) < or = to 45 kg/m2          ,NCT02429258
4,":            -  History of diabetic ketoacidosis, type 1 diabetes mellitus (T1DM), pancreas or beta              cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy, or a              severe hypoglycemic episode within 6 months before screening",:            -  All patients must have a diagnosis of T2DM and be currently treated with metformin and              sulphonylurea            -  Patients in the study must have a HbA1c between >=7 and <=10.5%            -  Patients must have a fasting plasma glucose (FPG) <270 mg/dL (15 mmol/L)          ,NCT01106625
5,:,:            -  18 years or older            -  Have been diagnosed as pre-diabetic or high risk for diabetes            -  Had a HbA1c test in the last year and if not are willing to get one now            -  Medicaid enrolled in NYS          ,NCT03139019
6,":            -  History of or current diagnosis of type 1 diabetes mellitus            -  History of diabetic ketoacidosis, ketosis-prone diabetes, or hyperosmolar              hyperglycemic coma            -  History of a severe episode of hypoglycemia (≥ 1 episode within 3 months prior to              screening or ≥ 2 episodes within 6 months prior to screening), defined as hypoglycemia              requiring 3rd party assistance to actively administer carbohydrate, glucagon, or other              resuscitative actions due to severe impairment in consciousness or behavior            -  Clinically significant complications of diabetes that, in the judgment of the              investigator, would make the subject unsuitable to participate in this study            -  History of any clinically significant cardiovascular or cerebrovascular event (eg,              myocardial infarction [MI], acute coronary syndrome [ACS], recent coronary              revascularization [including coronary artery bypass graft procedures or percutaneous              coronary intervention], transient ischemic attack or ischemic stroke) ≤ 3 months prior              to screening            -  Inadequately controlled or unstable hypertension as defined by systolic blood pressure              (SBP) > 160 mmHg or diastolic blood pressure (DBP) > 100 mmHg at screening and              randomization            -  Prolonged QTc interval > 500 msec by ECG at screening, a personal or family history of              QTc prolongation, congenital long QT syndrome, or subjects who are receiving drugs              that prolong the QTc interval, such as Class Ia or Class III antiarrhythmic agents,              erythromycin, and certain antipsychotics (eg, ziprasidone)            -  History of bariatric surgery at any time in the past or any other surgery < 2 months              before screening, or planning to undergo surgery during the study. Subjects with a              planned minor surgery may be enrolled upon approval by the Medical Monitor.            -  Any other hospitalization in the 14 days prior to screening or planned hospitalization              at any time during the study            -  Significant weight change (± 5%) < 2 months prior to screening or on a weight-loss              program and is not in the maintenance phase at screening            -  Severe renal impairment, defined as an estimated glomerular filtration rate (eGFR) by              the Modification of Diet in Renal Disease (MDRD) equation < 30 mL/min/1.73 m2 at              screening or undergoing any type of dialysis at screening or planning to undergo any              type of dialysis during the course of the study.            -  History of liver cirrhosis (Child-Pugh Class A, B or C)            -  Active liver disease and/or significant abnormal liver function defined as aspartate              aminotransferase (AST) > 3x upper limit of the normal range (ULN) and/or alanine              aminotransferase (ALT) > 3x ULN and/or serum total bilirubin > 2.0 mg/dL            -  History of cancer (except non-melanomic skin cancers or cervical in situ) within 5              years prior to screening            -  History of alcohol or other drug abuse < 12 months prior to screening            -  Any other clinically significant existing medical or psychiatric condition, including              clinically significant laboratory abnormalities, or one requiring further evaluation              that, in the opinion of the investigator, could interfere with conduct of the study or              interpretation of the data            -  Prior treatment with open-label ranolazine or known hypersensitivity or intolerance to              ranolazine or any of its excipients            -  Treatment with strong or moderate cytochrome (CYP)3A inhibitors or P-glycoprotein              (P-gp) inhibitors within 14 days prior to randomization            -  Treatment with CYP3A inducers or P-gp inducers within 14 days prior to randomization            -  Treatment with CYP3A4 substrates with a narrow therapeutic range (eg, cyclosporine,              tacrolimus, sirolimus) within 14 days prior to randomization            -  Treatment with simvastatin at a daily dose > 20 mg or lovastatin at a daily dose > 40              mg, within 14 days prior to randomization            -  Weight-loss medication or anti-obesity medication (prescription or nonprescription) <              3 months prior to screening            -  Treatment with niacin > 200 mg daily; if receiving ≤ 200 mg daily, should be on stable              doses for ≥ 90 days prior to screening and for the duration of the study            -  Expected or current treatment with systemic corticosteroids (oral or injectable) for >              14 days from screening through the end of the Treatment Period. Topical or inhaled              corticosteroid formulations are permitted at any time during the study            -  If receiving thyroid replacement therapy, should be on stable doses for at least 6              weeks prior to randomization            -  Hemoglobin < 12 g/dL for males; or < 11 g/dL for females, at screening            -  Participation in another clinical study involving an investigational drug or device <              30 days prior to screening; participation in another clinical study involving an              antihyperglycemic therapy < 90 days prior to screening            -  Donation of blood < 2 months prior to screening; plans to donate blood while              participating in the study            -  Females who are pregnant or breastfeeding            -  Other condition(s) that, in the opinion of the investigator, would compromise the              safety of the subject, would prevent compliance with the study protocol (including the              ability to comply with Mixed Meal Tolerance Test [MMTT]), or would compromise the              quality of the clinical study",":            -  Written informed consent            -  Males and females, 18 to 75 years old, inclusive            -  Documented history of T2DM            -  Treatment naïve to antihyperglycemic therapy or having received no prior treatment              with antihyperglycemic therapy for at least 90 days (TZDs for at least 24 weeks) prior              to screening            -  Body mass index (BMI) 25 kg/m2 to 45 kg/m2 inclusive at screening            -  HbA1c 7% - 10%, inclusive at screening and at the end of the Qualifying Period (Day 14              +2 days)            -  Fasting serum glucose (FSG) of ≥ 130 mg/dL (7.2 mmol/L) and ≤ 240 mg/dL (13.3 mmol/L)              at screening and at the end of the Qualifying Period (Day 14 +2 days). A one-time              central laboratory re-test of FSG is allowed in subjects with an initial central              laboratory FSG ≥ 125 mg/dL (6.9 mmol/L) and < 130 mg/dL (7.2 mmol/L) who are otherwise              eligible as determined by the investigator.            -  Fasting serum C-peptide ≥ 0.8 ng/mL at screening            -  Able and willing to comply with all study procedures during the course of the study            -  Females of child-bearing potential must have a negative pregnancy test at screening              and must agree to use highly effective contraception methods from screening throughout              the duration of the Treatment Period and for 14 days following the last dose of study              drug            -  At least 80% compliant with dosing during the Qualifying Period          ",NCT01472185
7,:            -  lung disease            -  current smoking or discontinued smoking within past 6 months,":            -  Adults with type 2 diabetes using Lantus® (insulin glargine) as their basal insulin,              not at glycemic goal.          ",NCT00348374
8,":          - Use of GLP-1 agonists or DPP-IV therapy in the last 3 months. History of Pancreatitis.         Risk for pancreatitis, i.e., history of gallstones, alcohol abuse, and         hypertriglyceridemia.          Subjects who are taking antiplatelet or anticoagulant medications will be excluded from the         fat biopsy portion of the study.          Coronary event or procedure (myocardial infarction, unstable angina, coronary artery         bypass, surgery or coronary angioplasty) in the previous four weeks Hepatic disease (liver         function tests more than 3 times the upper limit of normal) Renal impairment (serum eGFR         <30 ml/min) Any other life-threatening, non-cardiac disease Uncontrolled hypertension (BP >         160/100 mm of Hg) Congestive Heart Failure class III or IV. Use of an investigational agent         or therapeutic regimen within 30 days of study Participation in any other concurrent         clinical trial",":          Age 20-80 years inclusive. Type 2 diabetes BMI ≥30 kg/m2 Subjects on statins, ACE         inhibitors, thiazolidenediones and antioxidants will be allowed as long as they are on         stable doses of these compounds and the dosage in not changed during the course of study.          HbA1c ≤ 8.0%          ",NCT02372630
9,":            -  Subjects on selected oral medication with a narrow therapeutic window, such as              warfarin, digoxin, tricyclic antidepressants, lithium, aminophylline, theophylline and              anticonvulsants            -  History of chronic pancreatitis or idiopathic acute pancreatitis            -  Chronic malabsorption, regardless of aetiology            -  History of Crohn's disease, ulcerative colitis, or other inflammatory bowel disease            -  Treatment with glucose lowering agent(s) other than metformin as stated in the              inclusion criteria in a period of 90 days before the screening visit",:            -  BMI above or equal to 25 and below or equal to 40 kg/m^2            -  Subjects diagnosed with T2D (Type 2 diabetes) treated with diet and exercise and/or              who have been on a stable dose of metformin for at least 30 days prior to screening            -  HbA1c 7.0-9.5% (53-80 mmol/mol) (both inclusive)          ,NCT01923181
10,":            -  Use within the last 3 months prior to Visit 1 of any antidiabetic glucose lowering              drug other than insulin            -  Cardiovascular disease, within the last 6 months prior to visit 1, defined as: stroke;              decompensated heart failure New York Heart Association (NYHA) class III or IV;              myocardial infarction; unstable angina pectoris; or coronary arterial bypass graft or              angioplasty            -  Uncontrolled treated/ untreated severe hypertension (systolic blood pressure above or              equal to 180 millimetre (mm) mercury (Hg) and/or diastolic blood pressure above or              equal to 100 mmHg)            -  Pregnancy, breast-feeding, the intention of becoming pregnant or not using adequate              contraceptive measures according to local requirements            -  Cancer and medical history of cancer (except basal cell skin cancer or squamous cell              skin cancer)",":            -  Type 1 diabetes for 12 months or longer, hereof the last 3 months with injection based              therapies            -  Current treatment with any basal insulin (e.g. insulin glargine, insulin detemir, NPH              insulin) using one or two daily injections and with three or more daily meal-time              insulin injections (e.g. insulin aspart, insulin lispro, insulin glulisine, human              insulin) used as bolus insulin therapy            -  HbA1c maximum 10.0 % by central laboratory analysis            -  Body Mass Index (BMI) below or equal to 35.0 kg/m^2            -  Ability to self-manage insulin therapy as assessed by confirmation (verbal              confirmation at screening visit) of a changed insulin dose in the preceding two months              prior to screening            -  Ability and willingness to adhere to the protocol including performance of self              measured plasma glucose (SMPG) profiles and self adjustment of insulin doses          ",NCT01079234
11,":            1. History of diabetes insipidus, Type 1 diabetes or Latent Autoimmune Diabetes of              Adults, diabetic ketoacidosis or hyperosmolar nonketotic coma and Symptoms of poorly              controlled diabetes that would preclude participation in this trial including but not              limited to marked polyuria and polydipsia with greater than 10% weight loss during the              3 months prior to Enrolment (Visit 1), or other signs and symptoms.            2. History of pancreatitis.            3. Administration of any antihyperglycaemic therapy, other than metformin, for more than              14 days (consecutive or not) during the 8 weeks prior to enrolment            4. Any use of DPP-4 inhibitor or SGLT-2 inhibitor within 8 weeks prior to enrolment.            5. Significant hepatic disease, including, but not limited to, chronic active hepatitis              and/or severe hepatic insufficiency and/or significant abnormal liver function,              including patients with Alanine transaminase (ALT) and/or Aspartate transaminase (AST)              ≥3x ULN (Upper Limit of Normal)and/or Total Bilirubin ≥2.0x ULN. History of severe              hepatobiliary disease or hepatotoxicity with any medication. Positive serologic              evidence of current infectious liver disease, including patients who are known to be              positive for Hepatitis viral antibody ImmunoglobulinM (IgM), Hepatitis B surface              antigen, and Hepatitis C virus antibody.            6. Moderate or severe impairment of renal function [defined as Estimated Glomerular              Filtration Rate (eGFR) <60milliLitre/min/1.73 m2 (estimated by Modification in Diet              and Renal Disease (MDRD)) or serum creatinine ≥1.5mg/dL in males or ≥1.4mg/dL in              females]. Conditions of congenital renal glucosuria, history of unstable or rapidly              progressing renal disease.            7. History of any clinically significant disease or disorder which, in the opinion of the              investigator, may put the patient at risk because of participation in the study, may              influence the results, or may limit the patient's ability to participate in or              complete the study.",:            1. Patients aged ≥18 years old at time of informed consent;            2. Patients with Type 2 diabetes mellitus (T2DM) defined as HbA1C≥7.5% to ≤10.0% at              screening visit;            3. Stable metformin therapy for at least 8 weeks prior to enrolment at a dose of ≥1500mg              per day;            4. BMI ≤45.0kg/m2 at Enrolment visit;            5. Fasting Plasma Glucose (FPG) ≤ 270mg/dl(15.0mmol/L) at the enrolment visit;            6. For Females Only: Women of childbearing potential (WOCBP) must be using an acceptable              method of contraception to avoid pregnancy throughout the study and for at least 4              weeks after the last dose of study medication in such a manner that the risk of              pregnancy is minimized.          ,NCT02681094
12,":            -  symptomatic type 2 diabetics with > 10% weight loss 3 months prior to study            -  history of diabetic ketoacidosis, hyperosmolar nonketotic coma, insulin therapy,              inability to take muraglitazar, pioglitazone, or metformin according to investigator              brochure or labeling            -  History of MI (myocardial infarction), coronary angioplasty or bypass graft(s),              valvular disease or repair, unstable angina pectoris, transient ischemic attack (TIA),              cerebrovascular attack, or cerebrovascular accident (CVA) within 6 months, congestive              heart failure (NYHA Class III and IV, uncontrolled hypertension, history of, or renal              disease, peripheral vascular disease (PVD), pulmonary disease, gastrointestinal              disease, active liver disease or endocrine disease.",":            -  Type 2 diabetics            -  HbA1c ≥7.0% and ≤10.0%,currently receiving a stable dose of metformin 1500 to 2550              mg/day for at least 6 weeks prior to screening were enrolled in this study.            -  Fasting C-peptide ≥1.0 ng/mL            -  BMI≤41 kg/m2 mean fasting serum trig. ≤600 g/dL          ",NCT00240370
